"","STATE","RACE","date","COVID_IMPUTED","NOCOVID_IMPUTED"
"370","SD","Black alone","2020-03-14",6.58032,13054.4437746686
"371","SD","Hispanic","2020-03-14",6.58032,21843.4599748596
"372","SD","White alone","2020-03-14",35.311757348982,566893.03243293
"373","TN","Any other race alone or in combination","2020-03-14",69.1209695188985,82616.1242534024
"374","TN","Black alone","2020-03-14",52.55561,856109.652231485
"375","TN","Hispanic","2020-03-14",52.55561,237521.620507383
"376","TN","White alone","2020-03-14",240.679546240959,4040809.9179817
"377","TX","Any other race alone or in combination","2020-03-14",251.522284129027,334886.511182746
"378","TX","Black alone","2020-03-14",213.56393,2626125.26088686
"379","TX","Hispanic","2020-03-14",213.56393,7865267.6300427
"380","TX","White alone","2020-03-14",213.56393,9632691.15440051
"381","UT","Any other race alone or in combination","2020-03-14",40.6641546934484,78499.4016572212
"382","UT","Black alone","2020-03-14",22.39619,26147.6768707896
"383","UT","Hispanic","2020-03-14",22.39619,294210.22903979
"384","UT","White alone","2020-03-14",101.948072841942,1810565.31526629
"385","VA","Any other race alone or in combination","2020-03-14",88.2146815508993,148496.065833932
"386","VA","Black alone","2020-03-14",65.5001,1262805.34020245
"387","VA","Hispanic","2020-03-14",65.5001,565202.221863971
"388","VA","White alone","2020-03-14",213.683963801237,4239682.9472582
"389","VT","Any other race alone or in combination","2020-03-14",7.22080286647751,9031.78391622023
"390","VT","Black alone","2020-03-14",5.02849,5985.98747478565
"391","VT","Hispanic","2020-03-14",5.02849,9447.9966786736
"392","VT","White alone","2020-03-14",40.3916106293264,476036.975079969
"393","WA","Any other race alone or in combination","2020-03-14",197.56237997379,295627.44211735
"394","WA","Black alone","2020-03-14",86.6609351147325,229988.341338599
"395","WA","Hispanic","2020-03-14",209.386320207048,633318.618072033
"396","WA","White alone","2020-03-14",791.094375740478,4211687.89641262
"397","WI","Any other race alone or in combination","2020-03-14",54.9369433873851,89955.2932323975
"398","WI","Black alone","2020-03-14",54.6978425916804,260579.787463473
"399","WI","Hispanic","2020-03-14",45.05733,259506.167036388
"400","WI","White alone","2020-03-14",129.570829834672,3819335.52421144
"401","WV","Any other race alone or in combination","2020-03-14",17.1016422751494,19684.9773500779
"402","WV","Black alone","2020-03-14",14.16466,49751.0345789449
"403","WV","Hispanic","2020-03-14",14.16466,21097.3440889347
"404","WV","White alone","2020-03-14",14.16466,1330126.88900681
"405","WY","Any other race alone or in combination","2020-03-14",5.99940986211532,14573.0415143235
"406","WY","Black alone","2020-03-14",4.39083,4985.63372741645
"407","WY","Hispanic","2020-03-14",4.39083,38575.7988940787
"408","WY","White alone","2020-03-14",11.3753411197606,381758.61414173
"409","AK","Any other race alone or in combination","2020-03-21",18.9672133167917,108574.032734344
"410","AK","Black alone","2020-03-21",5.65291198453564,18704.3471133665
"411","AK","Hispanic","2020-03-21",9.30521683632429,35341.6948183242
"412","AK","White alone","2020-03-21",51.6741199662326,352153.325850327
"413","AL","Any other race alone or in combination","2020-03-21",57.7516583001371,66656.3295613122
"414","AL","Black alone","2020-03-21",201.920037715762,984007.882340388
